rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0018.jpg,7.2,0.4924,0.4991,0.1429,1.0,3,1,False,False
76,frame_0083.jpg,33.2,0.4899,0.5524,0.2857,0.64,2,2,False,False
77,frame_0127.jpg,50.8,0.4891,0.5724,0.1429,0.8,4,1,False,False
78,frame_0329.jpg,131.6,0.489,0.7746,0.2857,0.08,5,2,False,False
79,frame_0220.jpg,88.0,0.4879,0.6923,0.2857,0.28,2,2,False,False
80,frame_0194.jpg,77.6,0.4874,0.6056,0.4286,0.28,3,3,False,False
81,frame_0108.jpg,43.2,0.4867,0.6145,0.5714,0.04,4,4,False,False
82,frame_0077.jpg,30.8,0.4838,0.4441,0.2857,0.88,5,2,False,False
83,frame_0375.jpg,150.0,0.4838,0.6304,0.4286,0.2,8,3,False,False
84,frame_0367.jpg,146.8,0.4823,0.5898,0.5714,0.08,8,4,False,False
85,frame_0115.jpg,46.0,0.4815,0.6635,0.2857,0.32,3,2,False,False
86,frame_0284.jpg,113.6,0.4804,0.5653,0.2857,0.56,5,2,False,False
87,frame_0209.jpg,83.6,0.4801,0.4151,0.4286,0.72,3,3,False,False
88,frame_0218.jpg,87.2,0.4786,0.6418,0.2857,0.36,2,2,False,False
89,frame_0374.jpg,149.6,0.4785,0.5341,0.5714,0.2,6,4,False,False
90,frame_0088.jpg,35.2,0.4775,0.5218,0.4286,0.44,4,3,False,False
91,frame_0027.jpg,10.8,0.4767,0.4676,0.1429,1.0,2,1,False,False
92,frame_0184.jpg,73.6,0.4762,0.5775,0.5714,0.08,5,4,False,False
93,frame_0007.jpg,2.8,0.4738,0.3761,0.2857,1.0,3,2,False,False
94,frame_0183.jpg,73.2,0.4705,0.6678,0.4286,0.04,4,3,False,False
95,frame_0023.jpg,9.2,0.4695,0.4532,0.1429,1.0,1,1,False,False
96,frame_0006.jpg,2.4,0.468,0.4502,0.1429,1.0,2,1,False,False
97,frame_0124.jpg,49.6,0.4679,0.4924,0.2857,0.68,6,2,False,False
98,frame_0069.jpg,27.6,0.4655,0.3596,0.2857,1.0,5,2,False,False
99,frame_0217.jpg,86.8,0.465,0.6842,0.1429,0.4,1,1,False,False
100,frame_0298.jpg,119.2,0.4647,0.4483,0.4286,0.56,5,3,False,False
101,frame_0294.jpg,117.6,0.4629,0.552,0.1429,0.72,4,1,False,False
102,frame_0120.jpg,48.0,0.4616,0.4581,0.4286,0.52,3,3,False,False
103,frame_0396.jpg,158.4,0.4596,0.6838,0.2857,0.16,5,2,False,False
104,frame_0302.jpg,120.8,0.4572,0.4973,0.4286,0.4,5,3,False,False
105,frame_0288.jpg,115.2,0.4556,0.5375,0.1429,0.72,4,1,False,False
106,frame_0230.jpg,92.0,0.4552,0.6053,0.4286,0.12,5,3,False,False
107,frame_0096.jpg,38.4,0.4544,0.6894,0.2857,0.12,4,2,False,False
108,frame_0132.jpg,52.8,0.4536,0.3357,0.2857,1.0,5,2,False,False
109,frame_0078.jpg,31.2,0.4523,0.3971,0.2857,0.84,5,2,False,False
110,frame_0203.jpg,81.2,0.4519,0.562,0.1429,0.64,2,1,False,False
111,frame_0304.jpg,121.6,0.4517,0.5183,0.4286,0.32,5,3,False,False
112,frame_0173.jpg,69.2,0.4496,0.6695,0.1429,0.36,3,1,False,False
113,frame_0289.jpg,115.6,0.4478,0.5915,0.0,0.76,3,0,False,False
